index,id,group_id,phase_id,trial_phase
649,7,2,0,1
650,7,2,0,2
651,7,2,0,3
652,7,2,0,4
653,7,2,0,5
654,7,2,0,6
655,7,2,0,7
656,7,2,0,8
657,7,2,0,9
658,7,2,0,10
659,7,2,0,11
660,7,2,0,12
661,7,2,2,1
662,7,2,2,2
663,7,2,2,3
664,7,2,2,4
665,7,2,2,5
666,7,2,2,6
667,7,2,2,7
668,7,2,2,8
669,7,2,2,9
670,7,2,2,10
671,7,2,2,11
672,7,2,2,12
673,7,2,2,13
674,7,2,2,14
675,7,2,2,15
676,7,2,2,16
677,7,2,2,17
678,7,2,2,18
679,7,2,2,19
680,7,2,2,20
681,7,2,2,21
682,7,2,2,22
683,7,2,2,23
684,7,2,2,24
685,7,2,2,25
686,7,2,2,26
687,7,2,2,27
688,7,2,2,28
689,7,2,2,29
690,7,2,2,30
691,7,2,2,31
692,7,2,2,32
693,7,2,2,33
694,7,2,2,34
695,7,2,2,35
696,7,2,2,36
697,7,2,2,37
698,7,2,2,38
699,7,2,2,39
700,7,2,2,40
701,7,2,2,41
702,7,2,2,42
703,7,2,2,43
704,7,2,2,44
705,7,2,2,45
706,7,2,2,46
707,7,2,2,47
708,7,2,2,48
709,7,2,2,49
710,7,2,2,50
711,7,2,2,51
712,7,2,2,52
713,7,2,2,53
714,7,2,2,54
715,7,2,2,55
716,7,2,2,56
717,7,2,2,57
718,7,2,2,58
719,7,2,2,59
720,7,2,2,60
721,7,2,2,61
722,7,2,2,62
723,7,2,2,63
724,7,2,2,64
725,7,2,2,65
726,7,2,2,66
727,7,2,2,67
728,7,2,2,68
729,7,2,2,69
730,7,2,2,70
731,7,2,2,71
732,7,2,2,72
733,7,2,3,1
734,7,2,3,2
735,7,2,3,3
736,7,2,3,4
737,7,2,3,5
738,7,2,3,6
739,7,2,3,7
740,7,2,3,8
741,7,2,3,9
742,7,2,3,10
743,7,2,3,11
744,7,2,3,12
745,7,2,4,1
746,7,2,4,2
747,7,2,4,3
748,7,2,4,4
749,7,2,4,5
750,7,2,4,6
